Name1,Grp,MAC,Pre-Maint,Post-Maint
DGC#18066,ECOMV107816L119426,007686EA8FBC,REGISTERED,REGISTERED
DGC#19111,ECOMV107816L120654,007686EA50D6,REGISTERED,REGISTERED
DGC#17677,ECOMV107816L120728,009AD2C32D6C,REGISTERED,REGISTERED
DGC#18106,ECOMV107816L121313,CC5A5397F40C,REGISTERED,REGISTERED
DGC#17994,ECOMV107816L121317,007686EA87C8,REGISTERED,REGISTERED
DGC#18033,ECOMV107816L121702,009AD2C20E6A,REGISTERED,REGISTERED
DGC#17506,ECOMV107816L121716,009AD2C2A40A,REGISTERED,REGISTERED
DGC#18360,ECOMV107816L123272,009AD2C2AA8A,REGISTERED,REGISTERED
DGC#18596,ECOMV107816L124263,009AD2C315FA,REGISTERED,REGISTERED
DGC#18633,ECOMV107816L124954,009AD2C20B9A,REGISTERED,REGISTERED
DGC#18131,ECOMV107816L125026,009AD2C208E0,REGISTERED,REGISTERED
DGC#19353,ECOMV107816L125375,009AD2C3233E,REGISTERED,REGISTERED
DGC#18820,ECOMV107816L127925,007686EBA334,REGISTERED,REGISTERED
DGC#19614,ECOMV107816L127933,009AD2C368E8,REGISTERED,REGISTERED
DGC#17878,ECOMV107816L130721,009AD2C3CDB4,REGISTERED,REGISTERED
DGC#18769,ECOMV107816L130787,009AD2C32164,REGISTERED,REGISTERED
DGC#18868,ECOMV107816L130794,009AD2C32834,REGISTERED,REGISTERED
DGC#06841,ECOMV107816L132878,009AD2C3A724,REGISTERED,REGISTERED
DGC#06674,ECOMV107816L132978,009AD2C3B1EE,REGISTERED,REGISTERED
DGC#19525,ECOMV107816L133401,009AD2C3CE44,REGISTERED,REGISTERED
DGC#12003,ECOMV107816L133636,009AD2C31EA0,n/a,REGISTERED
DGC#14532,ECOMV107816L133652,009AD2C3CD72,REGISTERED,REGISTERED
DGC#18918,ECOMV107816L133909,009AD2C37994,REGISTERED,REGISTERED
DGC#19532,ECOMV107816L133983,009AD2C3BA18,n/a,REGISTERED
DGC#19436,ECOMV107816L134132,009AD2C3BB44,REGISTERED,REGISTERED
DGC#01769,ECOMV107816L134205,009AD2C3990E,REGISTERED,REGISTERED
DGC#08707,ECOMV107816L134252,009AD2C37A94,REGISTERED,REGISTERED
DGC#19542,ECOMV107816L134723,009AD2C37990,REGISTERED,REGISTERED
DGC#01443,ECOMV107816L134762,009AD2C36B16,REGISTERED,REGISTERED
DGC#04808,ECOMV107816L135167,009AD2C30D66,REGISTERED,REGISTERED
DGC#08503,ECOMV107816L135211,009AD2C311F4,REGISTERED,REGISTERED
DGC#13399,ECOMV107816L135277,009AD2C311DA,REGISTERED,REGISTERED
DGC#00432,ECOMV107816L140338,009AD2C368F0,REGISTERED,REGISTERED
DGC#03639,ECOMV107816L140411,009AD2C31D64,REGISTERED,REGISTERED
DGC#03665,ECOMV107816L140413,009AD2C31D0A,REGISTERED,REGISTERED
DGC#07977,ECOMV107816L140473,009AD2C3114E,REGISTERED,REGISTERED
DGC#09326,ECOMV107816L140508,009AD2C30DC2,REGISTERED,REGISTERED
DGC#01602,ECOMV107816L140878,009AD2C3B1EA,REGISTERED,REGISTERED
DGC#02210,ECOMV107816L140893,009AD2C316E0,REGISTERED,REGISTERED
DGC#07298,ECOMV107816L141001,009AD2C38C2A,REGISTERED,REGISTERED
DGC#07845,ECOMV107816L141022,009AD2C3CAE2,REGISTERED,REGISTERED
DGC#09314,ECOMV107816L141065,009AD2C3A7E6,REGISTERED,REGISTERED
DGC#10277,ECOMV107816L141092,BCD295D966B4,REGISTERED,n/a
DGC#11515,ECOMV107816L141110,009AD2C3C7B2,REGISTERED,REGISTERED
DGC#13359,ECOMV107816L141143,CC5A5397E03A,n/a,REGISTERED
DGC#19735,ECOMV107816L141228,009AD2C3A7F2,REGISTERED,REGISTERED
DGC#00241,ECOMV107816L142323,501CB0D8E70E,REGISTERED,REGISTERED
DGC#01844,ECOMV107816L142362,CC5A5397E4CE,REGISTERED,REGISTERED
DGC#07383,ECOMV107816L142446,501CB0D82736,REGISTERED,REGISTERED
